game_lineups_id,date,game_id,player_id,club_id,player_name,type,position,number,team_captain
3e148c13244e6fc7cc53b9ee95cb222a,2014-02-01,2332194,3306,512,Jonathan Walters,starting_lineup,Second Striker,19,0
40fab3be0cde8779689251cd6d3588a3,2014-02-01,2332194,3332,985,Wayne Rooney,starting_lineup,Second Striker,10,0
0ae88c616dfc86c28253d1ffdb12c3fc,2014-02-01,2332195,488,2288,Gerhard Tremmel,starting_lineup,Goalkeeper,25,0
fe36fe5bb23115873185b79b6c0658a1,2014-02-01,2332195,1368,379,Guy Demel,starting_lineup,Right-Back,20,0
9c82cf4b78d3a1110e18c5ece5ad60f5,2014-02-01,2332195,3179,379,Carlton Cole,substitutes,Centre-Forward,24,0
15cf8dc67c1821c4425533a2a9bf4f15,2014-03-01,2332196,3109,31,Steven Gerrard,starting_lineup,Defensive Midfield,8,1
84975fc444fb6b43ace37bf310d16b9d,2014-03-01,2332196,3202,31,Kolo Touré,substitutes,Centre-Back,4,0
c955d9a81ad411d6d06cb262ec5f58dd,2014-02-02,2332197,132,11,Tomas Rosicky,substitutes,Attacking Midfield,7,0
b65bd943d0d91a7f72e7ac343a335cee,2014-02-02,2332198,3109,31,Steven Gerrard,starting_lineup,Defensive Midfield,8,1
e3b5946c26078c0fc793e74dcb64b9d9,2014-02-02,2332198,3202,31,Kolo Touré,starting_lineup,Centre-Back,4,0
714bf1d7a23a99c9225a2034ba093b42,2014-03-25,2332199,2963,281,Martín Demichelis,starting_lineup,Centre-Back,26,0
c81da6e0af12c62108aa2d05edcf69d8,2014-03-25,2332199,3235,985,Rio Ferdinand,starting_lineup,Centre-Back,5,0
3eac28571b3d3ceef135a0c2ea7d833f,2014-03-25,2332199,3332,985,Wayne Rooney,starting_lineup,Centre-Forward,10,0
a8020b281779d71459068f4fa2b55be2,2014-03-25,2332199,3333,281,James Milner,substitutes,Left Midfield,7,0
d1c0b522b9dde6cd0c04f2173a32a2e3,2014-01-28,2332201,3276,762,Shola Ameobi,substitutes,Centre-Forward,23,0
05ca5eef1597696aeb8084de5ab0cb18,2014-01-29,2332202,3306,512,Jonathan Walters,substitutes,Centre-Forward,19,0
fc4592cb57740749125479f6f1d8a4ae,2014-01-29,2332202,3405,289,Wes Brown,starting_lineup,Centre-Back,5,0
a5a0e31fe5d73474178e891832c22004,2014-01-28,2332203,65,931,Dimitar Berbatov,starting_lineup,Centre-Forward,9,0
fae61e9e782ba07ed9d07d86f1e79d15,2014-01-28,2332203,488,2288,Gerhard Tremmel,starting_lineup,Goalkeeper,25,0
2833311d2fcb5ce3c1617e7091822754,2014-01-28,2332203,1662,931,Sascha Riether,starting_lineup,Right-Back,27,0
7522028cc482bffa97704751fa5867d9,2014-01-28,2332203,3259,931,Damien Duff,substitutes,Left Midfield,16,0
2016094fae3809cce7ef22bfce5def5e,2014-02-01,2332204,3276,762,Shola Ameobi,starting_lineup,Centre-Forward,23,0
628334b0307ab4303c3b9ca86bb61d8c,2014-02-01,2332204,3405,289,Wes Brown,starting_lineup,Centre-Back,5,0
c1a5c1dce2e830efc932cb371bbedab1,2014-02-08,2332205,3163,631,Frank Lampard,starting_lineup,Central Midfield,8,1
b67c216b913378c4bccae2031b370ee9,2014-02-08,2332205,3182,631,Ashley Cole,substitutes,Left-Back,3,0
3ed0dacc34308258b0f4d6ae427a155e,2014-02-08,2332205,3276,762,Shola Ameobi,substitutes,Centre-Forward,23,0
281d843617e88c7245fd3dc8ab5f12cc,2014-02-08,2332205,3357,631,Mark Schwarzer,substitutes,Goalkeeper,23,0
6d635b72d2353013754bfcb572be3732,2014-02-08,2332206,488,2288,Gerhard Tremmel,substitutes,Goalkeeper,25,0
5fd1350aff98c2aa513199f632b42265,2014-02-08,2332206,3297,603,Craig Bellamy,starting_lineup,Right Winger,39,1
429480e0bf589dcde33d0dbfa11f58c2,2014-01-11,2332207,65,931,Dimitar Berbatov,starting_lineup,Centre-Forward,9,0
5c0a8fad868493258d44b66fe75208f1,2014-01-11,2332207,1662,931,Sascha Riether,starting_lineup,Right-Back,27,0
24052224b27810afa458cdd29d2770ef,2014-01-11,2332207,3220,931,John Arne Riise,starting_lineup,Left-Back,3,0
fb5ec8d18d5e04af0b47f86c33085690,2014-01-11,2332207,3259,931,Damien Duff,starting_lineup,Right Midfield,16,0
26c2b2ba898852ca41c5ad60d9e5b477,2014-01-11,2332207,3405,289,Wes Brown,starting_lineup,Centre-Back,5,0
5e61f1bd2e916f223958f85b0044b5a2,2014-02-01,2332208,3291,29,Gareth Barry,starting_lineup,Central Midfield,18,0
b003953d447ec340c6a2bfa2bf50569d,2014-02-01,2332208,3356,29,Sylvain Distin,starting_lineup,Centre-Back,15,0
a46d27ee396b7c5cbac59b34d05a1a29,2014-01-11,2332210,3291,29,Gareth Barry,starting_lineup,Defensive Midfield,18,0
009a61e558fe91909e78865925b22fe8,2014-01-29,2332211,1368,379,Guy Demel,starting_lineup,Right-Back,20,0
d75eecab057fd0926d452ad17a84d1d4,2014-01-29,2332211,3160,631,John Terry,starting_lineup,Centre-Back,26,1
85221c6310de921cca0a4a90f81247eb,2014-01-29,2332211,3163,631,Frank Lampard,substitutes,Attacking Midfield,8,0
9adbd7af72a93f7361e220f7a47ca2d4,2014-01-29,2332211,3179,379,Carlton Cole,substitutes,Centre-Forward,24,0
6e828a4f2f2f6f328b4e6a7784cf64a9,2014-01-29,2332211,3182,631,Ashley Cole,substitutes,Left-Back,3,0
abd73c5cce5d58c7620978b8b45ba120,2014-01-29,2332211,3357,631,Mark Schwarzer,substitutes,Goalkeeper,23,0
9902cc852c7fc7d09f24377671acbbaf,2014-02-09,2332212,1662,931,Sascha Riether,starting_lineup,Right-Back,27,0
2b855700429283cd7eb3592ed55eb58c,2014-02-09,2332212,3220,931,John Arne Riise,starting_lineup,Left-Back,3,0
6cbc7274b2bdacc0fc47b6a12739af97,2014-02-09,2332212,3235,985,Rio Ferdinand,substitutes,Centre-Back,5,0
89d34895227559d0af7337503f568102,2014-02-09,2332212,3259,931,Damien Duff,substitutes,Right Midfield,16,0
791687a1085608b61b36e2b734279213,2014-02-09,2332212,3332,985,Wayne Rooney,starting_lineup,Second Striker,10,0
befb85dc7142e142c3230d6748397415,2014-02-09,2332212,3406,985,Ryan Giggs,substitutes,Left Midfield,11,0
d28f77163223a7b060c25c2a4ece85d4,2014-02-09,2332213,3291,29,Gareth Barry,starting_lineup,Central Midfield,18,0
579118a4606ddf5e23dec286af297c59,2014-02-09,2332213,3356,29,Sylvain Distin,starting_lineup,Centre-Back,15,0
7c63baac0ce980001c36424c47c8e30c,2014-02-12,2332215,488,2288,Gerhard Tremmel,substitutes,Goalkeeper,25,0
ecea19d284283a73c08b76e480c30968,2014-02-12,2332215,3306,512,Jonathan Walters,starting_lineup,Second Striker,19,0
a601907f75c5870c6d11f156658063c4,2014-02-11,2332216,1368,379,Guy Demel,starting_lineup,Right-Back,20,0
27cd0dcff682df7f2080db94cd2b0b25,2014-02-11,2332216,3179,379,Carlton Cole,starting_lineup,Centre-Forward,24,0
81bd08be107dd25497b6fa6aaa28d539,2014-02-11,2332216,3270,1123,Joseph Yobo,starting_lineup,Centre-Back,26,0
aa9427c08ede88934689eefaf50b6463,2014-02-08,2332217,1368,379,Guy Demel,starting_lineup,Right-Back,20,0
0ad8a6c9041efdc74ea1d389f9daa239,2014-02-08,2332217,3179,379,Carlton Cole,starting_lineup,Centre-Forward,24,0
9449238f396a52d90811b3a3c9b1c1c3,2014-01-19,2332218,3160,631,John Terry,starting_lineup,Centre-Back,26,1
5ec33652d528a317d7f95d768adb33d1,2014-01-19,2332218,3163,631,Frank Lampard,substitutes,Central Midfield,8,0
e8ec5eaabf05966b81dc4cea270506f0,2014-01-19,2332218,3182,631,Ashley Cole,substitutes,Left-Back,3,0
9cdf8a09cb660c4362f1fef978007206,2014-01-19,2332218,3357,631,Mark Schwarzer,substitutes,Goalkeeper,23,0
9fc2ed792f14736c0ffc287f65fdf459,2014-01-19,2332218,3406,985,Ryan Giggs,substitutes,Left Midfield,11,0
a7f596aac5dbee74d9189c589a4202a4,2014-01-29,2332219,2963,281,Martín Demichelis,starting_lineup,Centre-Back,26,0
ec04ee11e308de3d8e6252bd6cc9e7a9,2014-02-01,2332220,3297,603,Craig Bellamy,starting_lineup,Second Striker,39,1
66785753529e5710d4cb4c238a27d3bf,2014-02-08,2332221,3306,512,Jonathan Walters,starting_lineup,Second Striker,19,0
e73a18e1c027cf4dd1f866f625ffd61b,2014-02-12,2332222,132,11,Tomas Rosicky,starting_lineup,Right Midfield,7,0
26d234091b000fb90fdd567a99088d9f,2014-02-12,2332222,3235,985,Rio Ferdinand,substitutes,Centre-Back,5,0
467a03e361b0513d42a44489c93459e2,2014-02-12,2332222,3332,985,Wayne Rooney,starting_lineup,Second Striker,10,0
15e0e1c48589bbedf4602227e12b6bc3,2014-01-11,2332224,3226,984,Nicolas Anelka,starting_lineup,Centre-Forward,39,0
